timestamp,status,bucket,relative_path,remote_path,bytes,message
2026-01-19T10:48:06.182Z,OK,archive-product,1.21 MK1\Milton Keynes\thecentremk_presentation_Final.pdf,prospects-and-clients-product-c044accb9f/1.21 MK1/Milton Keynes/thecentremk_presentation_Final.pdf,28221004,
2026-01-19T10:48:06.183Z,SKIP,,1.21 MK1\Milton Keynes\Thumbs.db,,23552,SKIP_skip_ext:.db
2026-01-19T10:48:06.341Z,OK,archive-performance,1.21 MK1\MK1 Map.jpg,prospects-and-clients-performance-c044accb9f/1.21 MK1/MK1 Map.jpg,37892,
2026-01-19T10:48:06.341Z,SKIP,,1.21 MK1\Thumbs.db,,73216,SKIP_skip_ext:.db
2026-01-19T10:48:08.365Z,OK,archive-product,1.23 Harpur Centre Bedford\SO225731 - Grotto decor ideas.PDF,prospects-and-clients-product-c044accb9f/1.23 Harpur Centre Bedford/SO225731 - Grotto decor ideas.PDF,1718138,
2026-01-19T10:48:08.366Z,SKIP,,1.23 Harpur Centre Bedford\Thumbs.db,,16384,SKIP_skip_ext:.db
2026-01-19T10:48:08.732Z,OK,archive-people,1.24 Victoria Retail Park\2019 Costing Sheet -FP1.24 Victoria Retail Park.xls,prospects-and-clients-people-c044accb9f/1.24 Victoria Retail Park/2019 Costing Sheet -FP1.24 Victoria Retail Park.xls,101376,
2026-01-19T10:48:13.423Z,OK,archive-product,1.24 Victoria Retail Park\FP 1.24 Victoria Retail Park.pdf,prospects-and-clients-product-c044accb9f/1.24 Victoria Retail Park/FP 1.24 Victoria Retail Park.pdf,5249076,
2026-01-19T10:48:31.818Z,OK,archive-people,1.24 Victoria Retail Park\FP 1.24 Victoria Retail Park.pptx,prospects-and-clients-people-c044accb9f/1.24 Victoria Retail Park/FP 1.24 Victoria Retail Park.pptx,21835013,
2026-01-19T10:48:31.819Z,SKIP,,1.24 Victoria Retail Park\Thumbs.db,,62976,SKIP_skip_ext:.db
